	zt0_1	zt0_2	zt0_3	zt4_1	zt4_2	zt4_3	zt8_1	zt8_2	zt8_3	zt12_1	zt12_2	zt12_3	zt16_1	zt16_2	zt16_3	zt20_1	zt20_2	zt20_3
ostta02g02650	4035387.10092303	2831550.83552335	2487753.1004698	3304576.61470306	3602735.20675815	3058773.00209154	3721307.51909931	3350235.12334802	1805323.55628435	3901369.83882876	3654564.86134241	2093070.65873018	4211646.48294731	3257004.24129236	2191418.23567584	3870826.06086306	3663081.20360916	3283169.34686076
ostta06g00860	10131124.9638945	10636607.4324955	11345384.7221859	10128110.8667288	9710312.25218787	9584244.03714475	9743348.88444772	9420858.76702623	12437078.9033396	9229876.513046	9746029.75377662	9933176.71792693	9869662.77888388	11120992.1493684	9152928.9835815	10376640.6243322	9785538.19176959	10424136.0738581
ostta02g01970	1454807.59440102	1825606.99330274	899393.335935076	1961361.59835204	1873297.32399656	1457999.38899671	1090845.86490971	1370891.47384932	919082.734188048	1924179.85763047	1601951.53503594	850877.990498397	1831896.7570326	2146385.92115583	967796.633846573	1783092.73132507	1885349.03213366	1726094.30273103
ostta01g00720	4474341.17186151	4611517.90386435	4125170.48690543	3888567.35722366	4399632.53730477	4557821.1415054	4108107.35903674	4746909.12699386	4684554.9805825	3952958.08551356	4160141.96828323	3099354.56002131	4095437.29091861	4501339.06646608	2651311.25544042	4323175.28176971	4829768.90431126	5526013.42872704
ostta07g04530	7451604.15744861	9135633.76741281	4108077.9350232	8223870.22803973	8212363.08904066	9184975.42532348	7432584.02069474	8078717.6785603	12963704.7388563	5478780.33950166	6133729.17546628	7202931.54800062	6275135.02858606	7386611.08632228	4347129.2494188	7424559.88424623	7356822.33055665	8144079.50060862
ostta10g02140	1052493.81508637	1210882.69610358	603080.388761838	872031.529051759	1007542.37230115	1177741.25930331	1080375.53330837	1087293.39572125	714897.445494863	730294.917310673	674774.678168397	754573.905364608	857854.832383798	1014966.84307274	663728.356407522	1013264.6650068	755730.185148021	987797.56994506
ostta02g00670	3483349.4338877	4306663.14225076	3242075.40015736	3544376.49497704	3219803.12464902	3977647.17257954	3545503.01939346	3550658.46755914	3142593.79869085	3328289.54946411	2859339.06578259	2832510.89552798	3232066.44889876	4206218.71804442	2893480.71822845	3867680.68899735	3991674.63289219	3858216.1686447
ostta18g00960	1336175.38870994	1590389.72602812	1552334.87740872	1119779.53755462	1183178.6647222	1423469.01426159	1167571.79930383	1219999.50672518	1591290.23758098	946310.808883068	1083246.69819174	1453173.42093906	1199910.23863561	1262984.600668	1260321.71824349	1409774.7612531	845792.043084634	1456143.2939632
ostta01g02440	3395360.42991723	3810713.71293622	2715798.4254195	3177197.4684223	2549724.75389303	3549277.47550576	2489450.49172318	2998624.12377408	2617189.30954339	2613191.18885997	2587889.2971298	2655742.53749174	3082003.44670575	3441842.81333859	2577627.54058005	3712560.90680706	2680322.42969221	3227377.87410325
ostta18g01250	21178116.5950832	18631761.6240139	15998151.6701487	19810950.8643617	19458853.7508133	18838196.3598538	19252653.9475943	17326827.8367938	20928405.6049448	13986232.7404401	14424661.758614	19976535.2961475	16542219.8621973	17407160.7776978	25035568.7444026	18685928.3388096	15462041.0369215	13423914.5390922
ostta02g03250	2369158.31175482	2951983.95970883	1083216.13664015	2300085.26431043	2282508.49221656	2756971.24228893	1935835.57042223	2538389.25455895	682320.968253377	2140442.58968211	1992828.06857468	1156016.99812395	2224374.5528179	2589573.88780726	1187693.57810607	2474376.97833553	2084446.65984598	2471275.68803695
ostta06g03820	1463769.89720284	1510405.40353365	1829071.97675391	1407756.01189631	1498951.45239784	1834430.34167966	1291223.16971829	1464698.6508909	1770642.07254697	1114222.37554435	1436029.72289593	1602868.48549757	1368443.21367502	1775022.96678109	1783087.49393959	1634911.00583773	1245175.26034043	1179813.39431962
ostta01g01500	22962328.5093211	17334401.5183004	15311610.3682272	19059807.1035876	18191190.7259749	18000486.2170916	18911612.537977	18374383.8616514	13770333.6629346	18415937.0822923	18317939.8180546	14706389.8699777	18796041.9308566	17754600.5681533	16825843.6905877	19905134.5970181	18743869.9027927	19086189.5262762
ostta14g02150	2341967.00752905	3280287.21852371	1524942.4256966	2469147.53847231	2771990.17563485	2818415.01361988	2301718.46759095	2500877.77502655	1626141.01616413	1739542.68100899	2133981.9429273	1445493.99146525	2433861.38457649	3009207.05663408	1503927.57411706	2798388.37602921	2530578.54634366	2408790.19405058
