zt0_1	zt0_2	zt0_3	zt4_1	zt4_2	zt4_3	zt8_1	zt8_2	zt8_3	zt12_1	zt12_2	zt12_3	zt16_1	zt16_2	zt16_3	zt20_1	zt20_2	zt20_3
ostta04g01570	1889346.29539428	2127740.23392681	1840020.23314805	1695992.81054534	1817885.38602737	1693256.70836074	1714799.7710185	1406680.06531053	1631364.21127251	2662964.89936719	1971795.93186001	1829162.96769875	2188994.81906426	1681966.9527166	1942373.44976366	1757496.49206784	2182477.08568939	1836600.88461544
ostta06g00860	13183919.4055517	16271845.6199665	13991364.773618	13665273.5635125	17650371.7632118	15845467.8587256	13089710.819702	14402519.5203946	15980243.7124176	17149215.604084	18491192.0859913	13160093.4324023	14291014.1462279	15967602.1836534	13379132.2003644	14039649.0499595	15798333.3474923	13995339.7242571
ostta07g04530	4707898.56123365	6966176.36094663	3936661.44177297	10386156.2910022	14033475.724072	11818665.6133186	11351722.5056113	15524785.2763406	14064940.7169927	13525169.4025147	10905387.4474144	7350662.42732265	6124806.07966006	12947190.9579423	4478879.74804221	4888447.57251589	7199369.92684241	3921073.49130779
ostta01g03030	3084002.42044258	4208347.01368588	3048419.77194013	3297567.59776391	4508687.2822876	2716484.4436589	3520919.72300668	4056194.9491074	3135625.05921219	3417477.35524459	4473697.03900022	3116678.52705463	3224016.52636773	3550464.84832999	2821111.02862245	2771420.5373782	3850264.5566812	3038593.4366934
ostta07g04370	30042890.6905444	25711120.2058014	34740447.3995646	35025365.2705473	28846735.6752803	40537268.0024669	34905115.0622372	28665456.019915	39922037.3026383	49304110.3886084	26851428.7236763	33516745.9232231	37111186.7843737	27648757.8177213	35585492.6943048	33578629.6071191	32188681.4102136	34750582.8487605
ostta12g00160	5017111.91816122	4840470.01944524	5084792.20763167	4482683.48179249	6141936.51411732	4677500.40228137	4685628.07925845	4407901.64156684	4698262.47262032	6503135.50234407	5534825.17166695	4500468.12848307	5062365.01590967	4389234.2697107	4578647.32342718	4295088.51371879	5646982.1118246	5086463.58899584
ostta16g00040	22619202.751175	22970871.88277	20480032.2959555	21154016.0235218	21453866.3458494	14985586.6426059	20000883.8347968	19984822.1882915	14321208.0901337	15075272.7215821	19032622.063028	16540465.8771999	21907119.5537452	17294645.7608048	15999456.9070546	21019454.7237065	19632261.2905526	20483284.4469403
ostta01g02440	3864674.64259811	3702021.37528363	2763269.10986795	3819139.93595419	3799215.25195563	2445518.54612803	3947074.93199872	3320415.49440643	2372293.83812851	4551412.43950178	3510591.99628884	2135744.68178784	4306470.15317786	2804945.96354944	2456676.05033382	3057650.04956882	3530336.68952839	2756249.92954612
ostta06g03450	1826124.70267905	2275486.97855245	3683234.27020344	2745205.13902794	3963122.43113479	3712670.94433649	2374758.38168386	3237062.94189511	3683257.9843095	4379024.00588591	4347436.10369061	3427435.31510904	1980575.51487723	2414698.6923712	3828470.40055784	1991304.30940437	2928149.04927065	3667150.94491388
ostta06g02410	17114665.9667073	10664779.6639856	16333981.2278728	16159544.2505088	12122134.0753699	18737970.1322991	15823295.751849	10655011.8010599	16056117.8087067	19799355.0872657	11255181.2311491	15120422.4905505	17103338.5906499	11814285.6955048	15698155.2214963	18304941.776221	14020630.1528232	16337381.5380463
ostta01g00620	6267129.67808613	7938432.53362462	3617404.18385307	5709877.25923878	6449629.48079796	2993827.82170132	5362706.51357112	5587101.23669136	2687667.49893527	6570594.12512471	3342514.44905457	3746594.64276327	5968541.50172417	4219515.00996612	3763604.25617161	5440411.12300437	6648899.01898812	3603845.66751244
